id,formula,headline,subhead,cta,brand,price,rating,review_count,big_number,sticker_1,sticker_2,sticker_3,product_image,link,board,description,hashtags
pin-001-aesthetic-lifestyle,aesthetic-lifestyle,aesthetic room for a Pinterest summer,Shop the category,Shop the category,summerfindslab.com,,,,,SHOP THE EDIT,,,https://m.media-amazon.com/images/I/810zRr73SwL._AC_SL1500_.jpg,https://summerfindslab.com/category/aesthetic-room?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,Aesthetic Room | Summer Finds Lab,"aesthetic room for a Pinterest summer — Pinterest energy on a budget Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, aesthetic room, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #aestheticroom #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #aestheticroom #trendingnow
pin-002-aesthetic-lifestyle,aesthetic-lifestyle,The only pet summer list you need,Shop the category,Shop the category,summerfindslab.com,,,,,SHOP THE EDIT,,,https://m.media-amazon.com/images/I/710dsUc1UxL._AC_SL1500_.jpg,https://summerfindslab.com/category/pet-summer?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,Pet Summer | Summer Finds Lab,"The only pet summer list you need — Cool, safe and happy companions Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, pet summer, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #petsummer #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #petsummer #trendingnow
pin-003-moodboard-grid,moodboard-grid,Amazon summer gadgets that look luxe,Shop the category,Shop the category,summerfindslab.com,,,,,SHOP THE EDIT,,,https://m.media-amazon.com/images/I/817RKjrgrIL._AC_SL1500_.jpg,https://summerfindslab.com/category/summer-gadgets?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,Summer Gadgets | Summer Finds Lab,"Amazon summer gadgets that look luxe — Smart picks that beat the heat Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, summer gadgets, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #summergadgets #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #summergadgets #trendingnow
pin-004-secret-roundup,secret-roundup,The aesthetic summer skincare starter pack,Shop the category,Shop the category,summerfindslab.com,,,,,SHOP THE EDIT,,,https://m.media-amazon.com/images/I/5147PCBYBnL._AC_SL1500_.jpg,https://summerfindslab.com/category/skincare-summer?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,Summer Skincare | Summer Finds Lab,"The aesthetic summer skincare starter pack — SPF-friendly faves and after-sun heroes Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, skincare summer, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #skincaresummer #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #skincaresummer #trendingnow
pin-005-secret-roundup,secret-roundup,The aesthetic viral tiktok finds starter pack,Shop the category,Shop the category,summerfindslab.com,,,,,SHOP THE EDIT,,,https://m.media-amazon.com/images/I/810zRr73SwL._AC_SL1500_.jpg,https://summerfindslab.com/category/tiktok-finds?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,Viral TikTok Finds | Summer Finds Lab,"The aesthetic viral tiktok finds starter pack — The internet made us buy it Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, tiktok finds, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #tiktokfinds #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #tiktokfinds #trendingnow
pin-006-secret-roundup,secret-roundup,The only beach essentials list you need,Shop the category,Shop the category,summerfindslab.com,,,,,SHOP THE EDIT,,,https://m.media-amazon.com/images/I/81TlKWis2AL._AC_SL1500_.jpg,https://summerfindslab.com/category/beach-essentials?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,Beach Essentials | Summer Finds Lab,"The only beach essentials list you need — Sand, sun and zero stress Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, beach essentials, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #beachessentials #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #beachessentials #trendingnow
pin-007-secret-roundup,secret-roundup,travel accessories for a Pinterest summer,Shop the category,Shop the category,summerfindslab.com,,,,,SHOP THE EDIT,,,https://m.media-amazon.com/images/I/71N+WgSaPzL._AC_SL1500_.jpg,https://summerfindslab.com/category/travel?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,Travel Accessories | Summer Finds Lab,"travel accessories for a Pinterest summer — Pack lighter, travel smarter Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, travel, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #travel #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #travel #trendingnow
pin-008-moodboard-grid,moodboard-grid,6 travel finds that fit in your carry-on,Read the editor-tested list,Read the editor-tested list,summerfindslab.com,,,,6,EDITOR-TESTED,SAVE THE LIST,,,https://summerfindslab.com/guides/best-tiktok-products-summer-2026?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,tiktok-finds guides | Summer Finds Lab,"6 travel finds that fit in your carry-on — Some viral picks fizzle in a week. Others actually solve a problem. We tested the ten most-shared TikTok summer products of 2026 and the seven below earned the recommendation. Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, tiktok finds, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #tiktokfinds #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #tiktokfinds #trendingnow
pin-009-moodboard-grid,moodboard-grid,6 viral Amazon finds for under $25,Read the editor-tested list,Read the editor-tested list,summerfindslab.com,,,,6,EDITOR-TESTED,SAVE THE LIST,,,https://summerfindslab.com/guides/best-summer-gadgets-2026?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,summer-gadgets guides | Summer Finds Lab,"6 viral Amazon finds for under $25 — We tested twelve of the most-talked-about summer gadgets of 2026 across travel, beach and aesthetic-home categories. Below is the shortlist that survived a full month of real-world use, with editor notes on what actually works and what was hype. Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, summer gadgets, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #summergadget",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #summergadgets #trendingnow
pin-010-secret-roundup,secret-roundup,4 aesthetic Amazon finds for summer,Read the editor-tested list,Read the editor-tested list,summerfindslab.com,,,,4,EDITOR-TESTED,SAVE THE LIST,,,https://summerfindslab.com/guides/best-beach-essentials-2026?utm_source=pinterest&utm_medium=social&utm_campaign=summer-2026,beach-essentials guides | Summer Finds Lab,"4 aesthetic Amazon finds for summer — Six weeks of sun, sand and salt-water testing produced this shortlist. Each item below survived multiple full beach days, a salt rinse and a hot car trunk. Tap to shop the link. Keywords: amazon summer finds, viral tiktok products, summer 2026, beach essentials, amazon finds under 25, aesthetic amazon. #summerfinds #amazonfinds #summer2026 #pinterestaesthetic #beachessentials #trendingnow",#summerfinds #amazonfinds #summer2026 #pinterestaesthetic #beachessentials #trendingnow
